failsafe=1
Time				Photon temperature		Neutrino temperature		n				p				H2				H3				He3				He4				Li6				Li7				Be7				Li8				B8				Be9				B10				B11				C11				B12				C12				N12				C13				N13				C14				N14				O14				N15				O15				O16				
2.264179821398785188e+23	2.326679271227411958e-03	2.326679271225946550e-03	3.644967505953740639e-01	6.355032494046258806e-01	1.011507530488316892e-12	2.633800680445994734e-24	4.774216302006350091e-26	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	
2.264179822918052694e+23	2.326679270373472642e-03	2.326679270370541827e-03	3.644967505952701470e-01	6.355032494047296865e-01	1.011507530232683954e-12	3.950702969003904182e-24	1.265598281922274139e-25	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	
2.264179823957028771e+23	2.326679269789491862e-03	2.326679269785559244e-03	3.644967505951990927e-01	6.355032494048006297e-01	1.011507530032307528e-12	3.292257832024032597e-24	1.796394714389456985e-25	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	
2.264179825004257896e+23	2.326679269200872431e-03	2.326679269195929770e-03	3.644967505951274833e-01	6.355032494048721281e-01	1.011507529870271409e-12	2.299355514185251862e-24	2.213723810433447778e-25	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	
2.264179826486128316e+23	2.326679268367952760e-03	2.326679268361581121e-03	3.644967505950261200e-01	6.355032494049733804e-01	1.011507529692665473e-12	2.000713717400017382e-24	2.700608562634154983e-25	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	
2.264179828708933947e+23	2.326679267118573254e-03	2.326679267110057930e-03	3.644967505948740749e-01	6.355032494051253700e-01	1.011507529420573336e-12	2.568096429409107906e-24	3.487226163252888729e-25	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	
2.264179832043142560e+23	2.326679265244503778e-03	2.326679265232773144e-03	3.644967505946461461e-01	6.355032494053531877e-01	1.011507528968891726e-12	3.075769372452102926e-24	4.833676942931133760e-25	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	
2.264179837044455480e+23	2.326679262433399564e-03	2.326679262416845965e-03	3.644967505943043085e-01	6.355032494056951364e-01	1.011507528273860285e-12	2.904069545656149737e-24	6.781774328223733303e-25	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	
2.264179844546424860e+23	2.326679258216743460e-03	2.326679258192955197e-03	3.644967505937914964e-01	6.355032494062080595e-01	1.011507527255215633e-12	2.437465110206725351e-24	9.164860295238675817e-25	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	
2.264179855799379097e+23	2.326679251891759521e-03	2.326679251857119261e-03	3.644967505930221674e-01	6.355032494069775550e-01	1.011507525752332060e-12	2.332937598740492499e-24	1.205453438389203623e-24	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	1.000000000000000083e-30	
