     T(MeV)         phi_e         thetah           tnuh           nbh              N              P             H2            He4
 .3255165D-01  0.4854281D-04  0.1555367D-23  0.7149709D+00  0.3862394D-13  0.8777896D-07  0.7530400D+00  0.2399811D-04  0.6171779D-01
 .3231696D-01  0.5386026D-04  0.1533016D-23  0.7149697D+00  0.3779435D-13  0.8563869D-07  0.7530400D+00  0.2386575D-04  0.6171785D-01
 .3208765D-01  0.5970968D-04  0.1511335D-23  0.7149685D+00  0.3699534D-13  0.8360216D-07  0.7530400D+00  0.2373921D-04  0.6171790D-01
 .3185760D-01  0.6631971D-04  0.1489738D-23  0.7149675D+00  0.3620516D-13  0.8161151D-07  0.7530400D+00  0.2361499D-04  0.6171794D-01
 .3162886D-01  0.7373375D-04  0.1468420D-23  0.7149666D+00  0.3543075D-13  0.7968257D-07  0.7530400D+00  0.2349413D-04  0.6171799D-01
 .3140339D-01  0.8198210D-04  0.1447556D-23  0.7149657D+00  0.3467828D-13  0.7782858D-07  0.7530400D+00  0.2337751D-04  0.6171804D-01
 .3117920D-01  0.9124262D-04  0.1426960D-23  0.7149649D+00  0.3394076D-13  0.7603032D-07  0.7530400D+00  0.2326399D-04  0.6171808D-01
 .3095632D-01  0.1016489D-03  0.1406630D-23  0.7149642D+00  0.3321798D-13  0.7428567D-07  0.7530400D+00  0.2315348D-04  0.6171812D-01
 .3073475D-01  0.1133534D-03  0.1386565D-23  0.7149635D+00  0.3250972D-13  0.7259257D-07  0.7530400D+00  0.2304591D-04  0.6171816D-01
 .3051451D-01  0.1265300D-03  0.1366763D-23  0.7149629D+00  0.3181576D-13  0.7094906D-07  0.7530400D+00  0.2294119D-04  0.6171820D-01
 .3029561D-01  0.1413772D-03  0.1347223D-23  0.7149624D+00  0.3113588D-13  0.6935329D-07  0.7530400D+00  0.2283924D-04  0.6171824D-01
 .3007982D-01  0.1579773D-03  0.1328099D-23  0.7149619D+00  0.3047524D-13  0.6781593D-07  0.7530400D+00  0.2274079D-04  0.6171828D-01
 .2986535D-01  0.1767004D-03  0.1309226D-23  0.7149615D+00  0.2982793D-13  0.6632190D-07  0.7530400D+00  0.2264491D-04  0.6171831D-01
 .2965046D-01  0.1980192D-03  0.1290454D-23  0.7149611D+00  0.2918866D-13  0.6485803D-07  0.7530400D+00  0.2255078D-04  0.6171833D-01
 .2943865D-01  0.2219250D-03  0.1272082D-23  0.7149607D+00  0.2856753D-13  0.6344641D-07  0.7530400D+00  0.2245986D-04  0.6171835D-01
 .2922817D-01  0.2489623D-03  0.1253956D-23  0.7149604D+00  0.2795911D-13  0.6207357D-07  0.7530400D+00  0.2237130D-04  0.6171837D-01
 .2901903D-01  0.2795696D-03  0.1236075D-23  0.7149601D+00  0.2736319D-13  0.6073813D-07  0.7530400D+00  0.2228505D-04  0.6171839D-01
 .2881124D-01  0.3142500D-03  0.1218436D-23  0.7149598D+00  0.2677955D-13  0.5943876D-07  0.7530400D+00  0.2220103D-04  0.6171841D-01
 .2860640D-01  0.3532561D-03  0.1201172D-23  0.7149596D+00  0.2621240D-13  0.5818390D-07  0.7530400D+00  0.2211983D-04  0.6171843D-01
 .2840130D-01  0.3978632D-03  0.1184009D-23  0.7149593D+00  0.2565259D-13  0.5695258D-07  0.7530400D+00  0.2204011D-04  0.6171845D-01
 .2819756D-01  0.4485469D-03  0.1167083D-23  0.7149591D+00  0.2510446D-13  0.5575369D-07  0.7530400D+00  0.2196244D-04  0.6171847D-01
 .2799673D-01  0.5057213D-03  0.1150517D-23  0.7149590D+00  0.2457184D-13  0.5459487D-07  0.7530400D+00  0.2188736D-04  0.6171849D-01
 .2779571D-01  0.5712758D-03  0.1134054D-23  0.7149588D+00  0.2404633D-13  0.5345723D-07  0.7530400D+00  0.2181365D-04  0.6171850D-01
 .2759755D-01  0.6453715D-03  0.1117943D-23  0.7149587D+00  0.2353570D-13  0.5235700D-07  0.7530400D+00  0.2174237D-04  0.6171852D-01
 .2740074D-01  0.7298009D-03  0.1102054D-23  0.7149585D+00  0.2303572D-13  0.5128447D-07  0.7530400D+00  0.2167292D-04  0.6171854D-01
 .2720381D-01  0.8268593D-03  0.1086270D-23  0.7149584D+00  0.2254260D-13  0.5023104D-07  0.7530400D+00  0.2160474D-04  0.6171855D-01
 .2700969D-01  0.9368896D-03  0.1070823D-23  0.7149583D+00  0.2206346D-13  0.4921143D-07  0.7530400D+00  0.2153879D-04  0.6171857D-01
 .2681692D-01  0.1062617D-02  0.1055592D-23  0.7149582D+00  0.2159440D-13  0.4821686D-07  0.7530400D+00  0.2147453D-04  0.6171858D-01
 .2662549D-01  0.1206414D-02  0.1040576D-23  0.7149581D+00  0.2113524D-13  0.4724653D-07  0.7530400D+00  0.2141190D-04  0.6171859D-01
 .2643404D-01  0.1372305D-02  0.1025665D-23  0.7149581D+00  0.2068259D-13  0.4629289D-07  0.7530400D+00  0.2135042D-04  0.6171861D-01
 .2624532D-01  0.1561114D-02  0.1011072D-23  0.7149580D+00  0.2024277D-13  0.4536892D-07  0.7530400D+00  0.2129095D-04  0.6171862D-01
 .2605795D-01  0.1777669D-02  0.9966876D-24  0.7149579D+00  0.1981230D-13  0.4446693D-07  0.7530400D+00  0.2123298D-04  0.6171862D-01
 .2587193D-01  0.2026282D-02  0.9825080D-24  0.7149579D+00  0.1939101D-13  0.4358622D-07  0.7530400D+00  0.2117648D-04  0.6171862D-01
 .2568596D-01  0.2314116D-02  0.9684342D-24  0.7149578D+00  0.1897585D-13  0.4272016D-07  0.7530400D+00  0.2112103D-04  0.6171862D-01
 .2550265D-01  0.2643018D-02  0.9546606D-24  0.7149578D+00  0.1857247D-13  0.4188022D-07  0.7530400D+00  0.2106736D-04  0.6171862D-01
 .2532067D-01  0.3021678D-02  0.9410855D-24  0.7149578D+00  0.1817773D-13  0.4105964D-07  0.7530400D+00  0.2101505D-04  0.6171862D-01
 .2513881D-01  0.3461258D-02  0.9276154D-24  0.7149577D+00  0.1778885D-13  0.4025238D-07  0.7530400D+00  0.2096372D-04  0.6171862D-01
 .2495954D-01  0.3965057D-02  0.9144324D-24  0.7149577D+00  0.1741098D-13  0.3946893D-07  0.7530400D+00  0.2091402D-04  0.6171862D-01
 .2478040D-01  0.4550962D-02  0.9013536D-24  0.7149577D+00  0.1703878D-13  0.3869798D-07  0.7530400D+00  0.2086525D-04  0.6171862D-01
 .2460381D-01  0.5223802D-02  0.8885534D-24  0.7149577D+00  0.1667711D-13  0.3794944D-07  0.7530400D+00  0.2081804D-04  0.6171862D-01
 .2442739D-01  0.6007714D-02  0.8758564D-24  0.7149576D+00  0.1632093D-13  0.3721265D-07  0.7530400D+00  0.2077170D-04  0.6171862D-01
 .2425348D-01  0.6909735D-02  0.8634296D-24  0.7149576D+00  0.1597482D-13  0.3649697D-07  0.7530400D+00  0.2072683D-04  0.6171862D-01
 .2407976D-01  0.7962569D-02  0.8511050D-24  0.7149576D+00  0.1563400D-13  0.3579236D-07  0.7530400D+00  0.2068280D-04  0.6171862D-01
 .2390740D-01  0.9185017D-02  0.8389639D-24  0.7149576D+00  0.1530067D-13  0.3510319D-07  0.7530400D+00  0.2063988D-04  0.6171862D-01
 .2373638D-01  0.1060576D-01  0.8270039D-24  0.7149576D+00  0.1497465D-13  0.3442903D-07  0.7530400D+00  0.2059805D-04  0.6171862D-01
 .2356670D-01  0.1225853D-01  0.8152227D-24  0.7149576D+00  0.1465581D-13  0.3376943D-07  0.7530400D+00  0.2055727D-04  0.6171862D-01
 .2339836D-01  0.1418306D-01  0.8036178D-24  0.7149576D+00  0.1434398D-13  0.3312398D-07  0.7530400D+00  0.2051751D-04  0.6171862D-01
 .2323135D-01  0.1642616D-01  0.7921869D-24  0.7149576D+00  0.1403902D-13  0.3249229D-07  0.7530400D+00  0.2047875D-04  0.6171862D-01
 .2306462D-01  0.1906088D-01  0.7808572D-24  0.7149575D+00  0.1373892D-13  0.3187010D-07  0.7530400D+00  0.2044073D-04  0.6171862D-01
 .2289925D-01  0.2214034D-01  0.7696999D-24  0.7149575D+00  0.1344551D-13  0.3126111D-07  0.7530400D+00  0.2040367D-04  0.6171862D-01
 .2273623D-01  0.2571890D-01  0.7587799D-24  0.7149575D+00  0.1316039D-13  0.3066860D-07  0.7530400D+00  0.2036776D-04  0.6171862D-01
 .2257352D-01  0.2993364D-01  0.7479586D-24  0.7149575D+00  0.1287987D-13  0.3008482D-07  0.7530400D+00  0.2033253D-04  0.6171862D-01
 .2241214D-01  0.3487367D-01  0.7373024D-24  0.7149575D+00  0.1260560D-13  0.2951318D-07  0.7530400D+00  0.2029820D-04  0.6171862D-01
 .2225208D-01  0.4066909D-01  0.7268090D-24  0.7149575D+00  0.1233745D-13  0.2895334D-07  0.7530400D+00  0.2026472D-04  0.6171862D-01
 .2209238D-01  0.4751868D-01  0.7164141D-24  0.7149575D+00  0.1207372D-13  0.2840171D-07  0.7530400D+00  0.2023188D-04  0.6171862D-01
 .2193496D-01  0.5552370D-01  0.7062407D-24  0.7149575D+00  0.1181746D-13  0.2786463D-07  0.7530400D+00  0.2020007D-04  0.6171862D-01
 .2177791D-01  0.6500026D-01  0.6961637D-24  0.7149575D+00  0.1156544D-13  0.2733532D-07  0.7530400D+00  0.2016886D-04  0.6171862D-01
 .2162218D-01  0.7616556D-01  0.6862429D-24  0.7149575D+00  0.1131910D-13  0.2681676D-07  0.7530400D+00  0.2013844D-04  0.6171862D-01
 .2146775D-01  0.8932991D-01  0.6764757D-24  0.7149575D+00  0.1107830D-13  0.2630868D-07  0.7530400D+00  0.2010878D-04  0.6171862D-01
 .2131374D-01  0.1049591D+00  0.6668043D-24  0.7149575D+00  0.1084158D-13  0.2580793D-07  0.7530400D+00  0.2007970D-04  0.6171862D-01
 .2116105D-01  0.1234232D+00  0.6572844D-24  0.7149575D+00  0.1061023D-13  0.2531726D-07  0.7530400D+00  0.2005136D-04  0.6171862D-01
 .2100966D-01  0.1452425D+00  0.6479137D-24  0.7149575D+00  0.1038414D-13  0.2483641D-07  0.7530400D+00  0.2002372D-04  0.6171862D-01
 .2085957D-01  0.1710269D+00  0.6386897D-24  0.7149575D+00  0.1016318D-13  0.2436513D-07  0.7530400D+00  0.1999678D-04  0.6171862D-01
 .2071078D-01  0.2014856D+00  0.6296104D-24  0.7149575D+00  0.9947242D-14  0.2390318D-07  0.7530400D+00  0.1997051D-04  0.6171862D-01
 .2056243D-01  0.2376544D+00  0.6206233D-24  0.7149575D+00  0.9735023D-14  0.2344779D-07  0.7530400D+00  0.1994476D-04  0.6171862D-01
 .2041538D-01  0.2803118D+00  0.6117784D-24  0.7149575D+00  0.9527656D-14  0.2300140D-07  0.7530400D+00  0.1991966D-04  0.6171862D-01
 .2026962D-01  0.3304942D+00  0.6030734D-24  0.7149575D+00  0.9325028D-14  0.2256377D-07  0.7530400D+00  0.1989518D-04  0.6171862D-01
 .2012433D-01  0.3896580D+00  0.5944593D-24  0.7149575D+00  0.9125947D-14  0.2213235D-07  0.7530400D+00  0.1987119D-04  0.6171862D-01
 .1998033D-01  0.4586834D+00  0.5859825D-24  0.7149575D+00  0.8931446D-14  0.2170938D-07  0.7530400D+00  0.1984781D-04  0.6171862D-01
 .1983761D-01  0.5386339D+00  0.5776410D-24  0.7149575D+00  0.8741415D-14  0.2129466D-07  0.7530400D+00  0.1982501D-04  0.6171862D-01
 .1969616D-01  0.6303787D+00  0.5694324D-24  0.7149575D+00  0.8555748D-14  0.2088799D-07  0.7530400D+00  0.1980278D-04  0.6171862D-01
 .1955521D-01  0.7350484D+00  0.5613116D-24  0.7149575D+00  0.8373378D-14  0.2048706D-07  0.7530400D+00  0.1978100D-04  0.6171862D-01
 .1941552D-01  0.8522663D+00  0.5533212D-24  0.7149575D+00  0.8195221D-14  0.2009389D-07  0.7530400D+00  0.1975976D-04  0.6171862D-01
 .1927636D-01  0.9823129D+00  0.5454180D-24  0.7149575D+00  0.8020266D-14  0.1970629D-07  0.7530400D+00  0.1973895D-04  0.6171862D-01
 .1913847D-01  0.1123659D+01  0.5376426D-24  0.7149575D+00  0.7849374D-14  0.1932620D-07  0.7530400D+00  0.1971866D-04  0.6171862D-01
 .1900183D-01  0.1274997D+01  0.5299928D-24  0.7149575D+00  0.7682446D-14  0.1895342D-07  0.7530400D+00  0.1969888D-04  0.6171862D-01
 .1886573D-01  0.1435683D+01  0.5224281D-24  0.7149575D+00  0.7518552D-14  0.1858594D-07  0.7530400D+00  0.1967950D-04  0.6171862D-01
 .1873088D-01  0.1603435D+01  0.5149863D-24  0.7149575D+00  0.7358478D-14  0.1822552D-07  0.7530400D+00  0.1966061D-04  0.6171862D-01
 .1859659D-01  0.1777772D+01  0.5076286D-24  0.7149575D+00  0.7201344D-14  0.1787024D-07  0.7530400D+00  0.1964211D-04  0.6171862D-01
 .1846355D-01  0.1956668D+01  0.5003912D-24  0.7149575D+00  0.7047906D-14  0.1752181D-07  0.7530400D+00  0.1962407D-04  0.6171862D-01
 .1833174D-01  0.2139175D+01  0.4932722D-24  0.7149575D+00  0.6898053D-14  0.1718005D-07  0.7530400D+00  0.1960648D-04  0.6171862D-01
 .1820050D-01  0.2325498D+01  0.4862347D-24  0.7149575D+00  0.6750970D-14  0.1684317D-07  0.7530400D+00  0.1958926D-04  0.6171862D-01
 .1807049D-01  0.2514177D+01  0.4793128D-24  0.7149575D+00  0.6607336D-14  0.1651275D-07  0.7530400D+00  0.1957247D-04  0.6171862D-01
 .1794106D-01  0.2705756D+01  0.4724714D-24  0.7149575D+00  0.6466382D-14  0.1618707D-07  0.7530400D+00  0.1955602D-04  0.6171862D-01
 .1781285D-01  0.2899015D+01  0.4657429D-24  0.7149575D+00  0.6328746D-14  0.1586763D-07  0.7530400D+00  0.1953999D-04  0.6171862D-01
 .1768585D-01  0.3093750D+01  0.4591253D-24  0.7149575D+00  0.6194345D-14  0.1555431D-07  0.7530400D+00  0.1952436D-04  0.6171862D-01
 .1755944D-01  0.3290767D+01  0.4525856D-24  0.7149575D+00  0.6062472D-14  0.1524548D-07  0.7530400D+00  0.1950906D-04  0.6171862D-01
 .1743364D-01  0.3489970D+01  0.4461237D-24  0.7149575D+00  0.5933100D-14  0.1494114D-07  0.7530400D+00  0.1949407D-04  0.6171862D-01
 .1730903D-01  0.3690344D+01  0.4397695D-24  0.7149575D+00  0.5806793D-14  0.1464265D-07  0.7530400D+00  0.1947946D-04  0.6171862D-01
 .1718505D-01  0.3892791D+01  0.4334917D-24  0.7149575D+00  0.5682899D-14  0.1434851D-07  0.7530400D+00  0.1946515D-04  0.6171862D-01
 .1706225D-01  0.4096329D+01  0.4273189D-24  0.7149575D+00  0.5561947D-14  0.1406004D-07  0.7530400D+00  0.1945121D-04  0.6171862D-01
 .1694008D-01  0.4301888D+01  0.4212211D-24  0.7149575D+00  0.5443320D-14  0.1377580D-07  0.7530400D+00  0.1943755D-04  0.6171862D-01
 .1681908D-01  0.4508502D+01  0.4152255D-24  0.7149575D+00  0.5327517D-14  0.1349705D-07  0.7530400D+00  0.1942425D-04  0.6171862D-01
 .1669872D-01  0.4717113D+01  0.4093036D-24  0.7149575D+00  0.5213953D-14  0.1322242D-07  0.7530400D+00  0.1941122D-04  0.6171862D-01
 .1657952D-01  0.4926762D+01  0.4034813D-24  0.7149575D+00  0.5103097D-14  0.1295309D-07  0.7530400D+00  0.1939852D-04  0.6171862D-01
 .1646095D-01  0.5138398D+01  0.3977311D-24  0.7149575D+00  0.4994396D-14  0.1268778D-07  0.7530400D+00  0.1938609D-04  0.6171862D-01
 .1634303D-01  0.5352019D+01  0.3920527D-24  0.7149575D+00  0.4887822D-14  0.1242645D-07  0.7530400D+00  0.1937393D-04  0.6171862D-01
 .1622626D-01  0.5566669D+01  0.3864706D-24  0.7149575D+00  0.4783804D-14  0.1217021D-07  0.7530400D+00  0.1936207D-04  0.6171862D-01
 .1611014D-01  0.5783302D+01  0.3809588D-24  0.7149575D+00  0.4681830D-14  0.1191785D-07  0.7530400D+00  0.1935046D-04  0.6171862D-01
 .1599516D-01  0.6000962D+01  0.3755405D-24  0.7149575D+00  0.4582304D-14  0.1167041D-07  0.7530400D+00  0.1933915D-04  0.6171862D-01
 .1588083D-01  0.6220605D+01  0.3701911D-24  0.7149575D+00  0.4484743D-14  0.1142675D-07  0.7530400D+00  0.1932808D-04  0.6171862D-01
 .1576715D-01  0.6442230D+01  0.3649100D-24  0.7149575D+00  0.4389119D-14  0.1118683D-07  0.7530400D+00  0.1931725D-04  0.6171862D-01
 .1565412D-01  0.6665838D+01  0.3596971D-24  0.7149575D+00  0.4295405D-14  0.1095064D-07  0.7530400D+00  0.1930665D-04  0.6171862D-01
 .1554223D-01  0.6890474D+01  0.3545736D-24  0.7149575D+00  0.4203956D-14  0.1071911D-07  0.7530400D+00  0.1929632D-04  0.6171862D-01
 .1543100D-01  0.7117095D+01  0.3495165D-24  0.7149575D+00  0.4114339D-14  0.1049121D-07  0.7530400D+00  0.1928621D-04  0.6171862D-01
 .1532089D-01  0.7344743D+01  0.3445461D-24  0.7149575D+00  0.4026889D-14  0.1026783D-07  0.7530400D+00  0.1927636D-04  0.6171862D-01
 .1521143D-01  0.7574376D+01  0.3396406D-24  0.7149575D+00  0.3941196D-14  0.1004797D-07  0.7530400D+00  0.1926672D-04  0.6171862D-01
 .1510263D-01  0.7805995D+01  0.3347996D-24  0.7149575D+00  0.3857233D-14  0.9831611D-08  0.7530400D+00  0.1925729D-04  0.6171862D-01
 .1499450D-01  0.8039601D+01  0.3300225D-24  0.7149575D+00  0.3774974D-14  0.9618722D-08  0.7530400D+00  0.1924807D-04  0.6171862D-01
 .1488704D-01  0.8275193D+01  0.3253091D-24  0.7149575D+00  0.3694391D-14  0.9409278D-08  0.7530400D+00  0.1923904D-04  0.6171862D-01
 .1478068D-01  0.8511816D+01  0.3206774D-24  0.7149575D+00  0.3615772D-14  0.9204071D-08  0.7530400D+00  0.1923025D-04  0.6171862D-01
 .1467498D-01  0.8750426D+01  0.3161076D-24  0.7149575D+00  0.3538757D-14  0.9002214D-08  0.7530400D+00  0.1922165D-04  0.6171862D-01
 .1456996D-01  0.8991026D+01  0.3115992D-24  0.7149575D+00  0.3463323D-14  0.8803680D-08  0.7530400D+00  0.1921324D-04  0.6171862D-01
 .1446602D-01  0.9232656D+01  0.3071692D-24  0.7149575D+00  0.3389729D-14  0.8609205D-08  0.7530400D+00  0.1920505D-04  0.6171862D-01
 .1436234D-01  0.9477235D+01  0.3027820D-24  0.7149575D+00  0.3317366D-14  0.8417217D-08  0.7530400D+00  0.1919700D-04  0.6171862D-01
 .1425974D-01  0.9722845D+01  0.2984714D-24  0.7149575D+00  0.3246777D-14  0.8229194D-08  0.7530400D+00  0.1918917D-04  0.6171862D-01
 .1415780D-01  0.9970447D+01  0.2942196D-24  0.7149575D+00  0.3177647D-14  0.8044348D-08  0.7530400D+00  0.1918150D-04  0.6171862D-01
 .1405655D-01  0.1022004D+02  0.2900261D-24  0.7149575D+00  0.3109954D-14  0.7862651D-08  0.7530400D+00  0.1917401D-04  0.6171862D-01
 .1395597D-01  0.1047163D+02  0.2858904D-24  0.7149575D+00  0.3043670D-14  0.7684077D-08  0.7530400D+00  0.1916668D-04  0.6171862D-01
 .1385606D-01  0.1072520D+02  0.2818119D-24  0.7149575D+00  0.2978772D-14  0.7508598D-08  0.7530400D+00  0.1915951D-04  0.6171862D-01
 .1375721D-01  0.1097982D+02  0.2778052D-24  0.7149575D+00  0.2915471D-14  0.7336824D-08  0.7530400D+00  0.1915253D-04  0.6171862D-01
 .1365866D-01  0.1123738D+02  0.2738393D-24  0.7149575D+00  0.2853264D-14  0.7167431D-08  0.7530400D+00  0.1914569D-04  0.6171862D-01
 .1356115D-01  0.1149598D+02  0.2699435D-24  0.7149575D+00  0.2792592D-14  0.7001657D-08  0.7530400D+00  0.1913902D-04  0.6171862D-01
 .1346396D-01  0.1175754D+02  0.2660881D-24  0.7149575D+00  0.2732980D-14  0.6838238D-08  0.7530400D+00  0.1913247D-04  0.6171862D-01
 .1336781D-01  0.1202013D+02  0.2623011D-24  0.7149575D+00  0.2674843D-14  0.6678350D-08  0.7530400D+00  0.1912610D-04  0.6171862D-01
 .1327232D-01  0.1228472D+02  0.2585674D-24  0.7149575D+00  0.2617935D-14  0.6521353D-08  0.7530400D+00  0.1911987D-04  0.6171862D-01
 .1317718D-01  0.1255227D+02  0.2548735D-24  0.7149575D+00  0.2562035D-14  0.6366671D-08  0.7530400D+00  0.1911376D-04  0.6171862D-01
 .1308305D-01  0.1282085D+02  0.2512453D-24  0.7149575D+00  0.2507523D-14  0.6215387D-08  0.7530400D+00  0.1910780D-04  0.6171862D-01
 .1298960D-01  0.1309143D+02  0.2476688D-24  0.7149575D+00  0.2454172D-14  0.6066909D-08  0.7530400D+00  0.1910199D-04  0.6171862D-01
 .1289649D-01  0.1336497D+02  0.2441312D-24  0.7149575D+00  0.2401778D-14  0.5920698D-08  0.7530400D+00  0.1909628D-04  0.6171862D-01
 .1280439D-01  0.1363955D+02  0.2406567D-24  0.7149575D+00  0.2350688D-14  0.5777754D-08  0.7530400D+00  0.1909073D-04  0.6171862D-01
 .1271265D-01  0.1391709D+02  0.2372206D-24  0.7149575D+00  0.2300522D-14  0.5637044D-08  0.7530400D+00  0.1908529D-04  0.6171862D-01
 .1262190D-01  0.1419567D+02  0.2338459D-24  0.7149575D+00  0.2251607D-14  0.5499516D-08  0.7530400D+00  0.1907998D-04  0.6171862D-01
 .1253152D-01  0.1447721D+02  0.2305088D-24  0.7149575D+00  0.2203582D-14  0.5364186D-08  0.7530400D+00  0.1907478D-04  0.6171862D-01
 .1244212D-01  0.1475979D+02  0.2272316D-24  0.7149575D+00  0.2156755D-14  0.5231951D-08  0.7530400D+00  0.1906972D-04  0.6171862D-01
 .1235309D-01  0.1504533D+02  0.2239913D-24  0.7149575D+00  0.2110787D-14  0.5101877D-08  0.7530400D+00  0.1906476D-04  0.6171862D-01
 .1226473D-01  0.1533288D+02  0.2207986D-24  0.7149575D+00  0.2065818D-14  0.4974392D-08  0.7530400D+00  0.1905992D-04  0.6171862D-01
 .1217705D-01  0.1562243D+02  0.2176529D-24  0.7149575D+00  0.2021828D-14  0.4849463D-08  0.7530400D+00  0.1905518D-04  0.6171862D-01
 .1208976D-01  0.1591495D+02  0.2145435D-24  0.7149575D+00  0.1978658D-14  0.4726658D-08  0.7530400D+00  0.1905054D-04  0.6171862D-01
 .1200343D-01  0.1620851D+02  0.2114903D-24  0.7149575D+00  0.1936571D-14  0.4606757D-08  0.7530400D+00  0.1904603D-04  0.6171862D-01
 .1191748D-01  0.1650504D+02  0.2084727D-24  0.7149575D+00  0.1895271D-14  0.4488940D-08  0.7530400D+00  0.1904160D-04  0.6171862D-01
 .1183249D-01  0.1680261D+02  0.2055097D-24  0.7149575D+00  0.1855009D-14  0.4373941D-08  0.7530400D+00  0.1903730D-04  0.6171862D-01
 .1174762D-01  0.1710411D+02  0.2025722D-24  0.7149575D+00  0.1815378D-14  0.4260624D-08  0.7530400D+00  0.1903307D-04  0.6171862D-01
 .1166369D-01  0.1740666D+02  0.1996880D-24  0.7149575D+00  0.1776746D-14  0.4150060D-08  0.7530400D+00  0.1902895D-04  0.6171862D-01
 .1158043D-01  0.1771121D+02  0.1968472D-24  0.7149575D+00  0.1738966D-14  0.4041850D-08  0.7530400D+00  0.1902492D-04  0.6171862D-01
 .1149757D-01  0.1801873D+02  0.1940404D-24  0.7149575D+00  0.1701905D-14  0.3935630D-08  0.7530400D+00  0.1902098D-04  0.6171862D-01
 .1141538D-01  0.1832826D+02  0.1912761D-24  0.7149575D+00  0.1665667D-14  0.3831717D-08  0.7530400D+00  0.1901714D-04  0.6171862D-01
 .1133360D-01  0.1864077D+02  0.1885453D-24  0.7149575D+00  0.1630125D-14  0.3729765D-08  0.7530400D+00  0.1901337D-04  0.6171862D-01
 .1125249D-01  0.1895529D+02  0.1858563D-24  0.7149575D+00  0.1595375D-14  0.3630070D-08  0.7530400D+00  0.1900970D-04  0.6171862D-01
 .1117204D-01  0.1927181D+02  0.1832083D-24  0.7149575D+00  0.1561402D-14  0.3532599D-08  0.7530400D+00  0.1900611D-04  0.6171862D-01
 .1109225D-01  0.1959035D+02  0.1806009D-24  0.7149575D+00  0.1528188D-14  0.3437318D-08  0.7530400D+00  0.1900260D-04  0.6171862D-01
 .1101289D-01  0.1991186D+02  0.1780257D-24  0.7149575D+00  0.1495618D-14  0.3343915D-08  0.7530400D+00  0.1899918D-04  0.6171862D-01
 .1093418D-01  0.2023538D+02  0.1754901D-24  0.7149575D+00  0.1463780D-14  0.3252651D-08  0.7530400D+00  0.1899583D-04  0.6171862D-01
 .1085590D-01  0.2056189D+02  0.1729863D-24  0.7149575D+00  0.1432565D-14  0.3163230D-08  0.7530400D+00  0.1899255D-04  0.6171862D-01
 .1077827D-01  0.2089040D+02  0.1705214D-24  0.7149575D+00  0.1402054D-14  0.3075894D-08  0.7530400D+00  0.1898936D-04  0.6171862D-01
 .1070130D-01  0.2122092D+02  0.1680946D-24  0.7149575D+00  0.1372231D-14  0.2990610D-08  0.7530400D+00  0.1898624D-04  0.6171862D-01
 .1062476D-01  0.2155443D+02  0.1656986D-24  0.7149575D+00  0.1342996D-14  0.2907103D-08  0.7530400D+00  0.1898319D-04  0.6171862D-01
 .1054866D-01  0.2189092D+02  0.1633333D-24  0.7149575D+00  0.1314342D-14  0.2825362D-08  0.7530400D+00  0.1898020D-04  0.6171862D-01
 .1047320D-01  0.2222942D+02  0.1610050D-24  0.7149575D+00  0.1286339D-14  0.2745596D-08  0.7530400D+00  0.1897729D-04  0.6171862D-01
 .1039840D-01  0.2256994D+02  0.1587133D-24  0.7149575D+00  0.1258972D-14  0.2667771D-08  0.7530400D+00  0.1897445D-04  0.6171862D-01
 .1032403D-01  0.2291344D+02  0.1564511D-24  0.7149575D+00  0.1232152D-14  0.2591641D-08  0.7530400D+00  0.1897167D-04  0.6171862D-01
 .1025030D-01  0.2325895D+02  0.1542246D-24  0.7149575D+00  0.1205943D-14  0.2517396D-08  0.7530400D+00  0.1896896D-04  0.6171862D-01
 .1017681D-01  0.2360842D+02  0.1520211D-24  0.7149575D+00  0.1180190D-14  0.2444603D-08  0.7530400D+00  0.1896630D-04  0.6171862D-01
 .1010417D-01  0.2395894D+02  0.1498586D-24  0.7149575D+00  0.1155097D-14  0.2373842D-08  0.7530400D+00  0.1896371D-04  0.6171862D-01
 .1003177D-01  0.2431341D+02  0.1477186D-24  0.7149575D+00  0.1130444D-14  0.2304500D-08  0.7530400D+00  0.1896118D-04  0.6171862D-01
 .9960199D-02  0.2466893D+02  0.1456185D-24  0.7149575D+00  0.1106422D-14  0.2237120D-08  0.7530400D+00  0.1895871D-04  0.6171862D-01
 .9888882D-02  0.2502840D+02  0.1435407D-24  0.7149575D+00  0.1082825D-14  0.2171125D-08  0.7530400D+00  0.1895630D-04  0.6171862D-01
 .9818201D-02  0.2538990D+02  0.1414961D-24  0.7149575D+00  0.1059772D-14  0.2106852D-08  0.7530400D+00  0.1895394D-04  0.6171862D-01
 .9747965D-02  0.2575438D+02  0.1394789D-24  0.7149575D+00  0.1037191D-14  0.2044102D-08  0.7530400D+00  0.1895163D-04  0.6171862D-01
 .9678177D-02  0.2612185D+02  0.1374889D-24  0.7149575D+00  0.1015074D-14  0.1982856D-08  0.7530400D+00  0.1894938D-04  0.6171862D-01
 .9609020D-02  0.2649134D+02  0.1355311D-24  0.7149575D+00  0.9934685D-15  0.1923248D-08  0.7530400D+00  0.1894719D-04  0.6171862D-01
 .9540310D-02  0.2686382D+02  0.1335998D-24  0.7149575D+00  0.9723088D-15  0.1865096D-08  0.7530400D+00  0.1894504D-04  0.6171862D-01
